"",Date,Tweet_ID,Original_Tweet_Text,Updated_Clean_Text,Segment,New_Category
0,2022-01-07,1479557668205481984,"Folks are able to see through the hypocrisy of this post made by the party responsible for 75,000 Covid deaths in Texas. Not appropriate banter. https://t.co/faIqUjRUIh","Folks are able to see through the hypocrisy of this post made by the party responsible for 75 000 Covid deaths in Texas Not appropriate banter ",1,0
1,2022-01-07,1479531907096489989,"When it matters most -- Democrats will always hold the line, walk the line, and even draw the line. 

We wouldn't needlessly create lines of barriers keeping people from their rights to vote or protect themselves from a deadly pandemic. #txlege https://t.co/VT0dUq9XE6","When it matters most Democrats will always hold the line walk the line and even draw the line We wouldn t needlessly create lines of barriers keeping people from their rights to vote or protect themselves from a deadly pandemic txlege ",1,0
2,2022-01-07,1479529037949292549,"If you can wait in line for a covid test, you can wait in line to vote. https://t.co/Y8YrKEspYP","If you can wait in line for a covid test you can wait in line to vote ",1,0
3,2022-01-05,1478872421197307904,"RELEASE: COVID-19 Cases in Texas Skyrocket as Omicron Variant Continues to Rage #txlege 

Read more: https://t.co/psBLppKmTD https://t.co/89KqsY08pz","RELEASE COVID 19 Cases in Texas Skyrocket as Omicron Variant Continues to Rage txlege Read more ",1,0
4,2022-01-04,1478385051511537677,"Texas is now in the ""red zone"" with record high positivity rates. 

Please continue taking caution to prevent the spread of #COVID19:
🩹 Get vaccinated or schedule your booster
😷 Wear a mask when appropriate
↔️ Stand 6ft apart in public settings
🤒 Stay home if you feel sick https://t.co/JWlh7BUL2n","Texas is now in the red zone with record high positivity rates Please continue taking caution to prevent the spread of COVID19 Get vaccinated or schedule your booster Wear a mask when appropriate Stand 6ft apart in public settings Stay home if you feel sick ",1,0
5,2022-01-04,1478200855174295552,I was proud to lead an amicus brief in support of service members seeking a religious exemption to Biden’s vaccine mandate. This court action is a big victory against Biden’s tyrannical COVID mandate that would undermine religious freedom and hurt our national security. https://t.co/qBKpduOPvN,"I was proud to lead an amicus brief in support of service members seeking a religious exemption to Biden s vaccine mandate This court action is a big victory against Biden s tyrannical COVID mandate that would undermine religious freedom and hurt our national security ",1,2.22
6,2022-01-06,1479174613498277890,"More than 1 &amp; 1/2 years into #COVID19, many of us are still recovering in many ways, especially mentally. That's why @emergencehealth is offering free &amp; anonymous counseling to help #ElPaso residents process emotions related to COVID #txlege

Learn more ⬇️
https://t.co/3ys3Xy8JkP","More than 1 amp 1 2 years into COVID19 many of us are still recovering in many ways especially mentally That s why emergencehealth is offering free amp anonymous counseling to help ElPaso residents process emotions related to COVID txlege Learn more ",1,0
7,2022-01-03,1478080888441298947,"With more than 1 in 4 #COVID19 tests positive, we must be vigilant in wearing masks, getting vaccinated, &amp; staying home when sick. Let’s do our part to flatten the curve, ensure our health care system isn’t overwhelmed, &amp; keep our community safe. #txlege

https://t.co/I04i45klj6","With more than 1 in 4 COVID19 tests positive we must be vigilant in wearing masks getting vaccinated amp staying home when sick Let s do our part to flatten the curve ensure our health care system isn t overwhelmed amp keep our community safe txlege ",1,0
8,2021-01-04,1345991326467305478,"Cuomo:  “I will fine any doctor one meeee-lion dollars for daring to administer a Covid vaccine to anyone who the government doesn’t pre-authorize.”

#PartyOfScience

Next time, hold your pinky to your lips. https://t.co/D4RnOdBXl9 https://t.co/C7p6eYaeig","Cuomo I will fine any doctor one meeee lion dollars for daring to administer a Covid vaccine to anyone who the government doesn t pre authorize PartyOfScience Next time hold your pinky to your lips ",1,0
9,2021-01-04,1346069846275084293,These are #ElPaso #EssentialWorkers  during the #COVID19 #pandemic https://t.co/N2hiTY6hwJ via @elpasotimes #915,"These are ElPaso EssentialWorkers during the COVID19 pandemic ",1,0
